week,Proportion,Variant
2021/5/4,0.116444015,Others
2021/5/11,0.108623149,Others
2021/5/18,0.079946637,Others
2021/5/25,0.080815623,Others
2021/6/1,0.082553593,Others
2021/6/8,0.06864983,Others
2021/6/15,0.00976079,Others
2021/6/22,0.013236731,Others
2021/6/29,0.002808908,Others
2021/7/6,0,Others
2021/7/13,0,Others
2021/7/20,0,Others
2021/7/27,0,Others
2021/8/3,0,Others
2021/8/10,0,Others
2021/8/17,0,Others
2021/8/24,0,Others
2021/8/31,0,Others
2021/9/6,0,Others
2021/9/13,0,Others
2021/9/20,0,Others
2021/9/27,0,Others
2021/10/4,0,Others
2021/10/11,0,Others
2021/10/18,0,Others
2021/10/25,0,Others
2021/11/1,0,Others
2021/11/8,0,Others
2021/11/15,0,Others
2021/11/22,0,Others
2021/11/29,0,Others
2021/12/6,0,Others
2021/12/13,0,Others
2021/12/20,0,Others
2021/12/27,0,Others
2022/1/3,0,Others
2022/1/10,0,Others
2022/1/17,0,Others
2022/1/24,0,Others
2022/1/31,0,Others
2022/2/7,0,Others
2022/2/14,0,Others
2022/2/21,0,Others
2022/2/28,0,Others
2022/3/7,0,Others
2022/3/14,0,Others
2022/3/21,0,Others
2021/5/4,0.883555985,Alpha
2021/5/11,0.891376851,Alpha
2021/5/18,0.920053363,Alpha
2021/5/25,0.919184377,Alpha
2021/6/1,0.917446407,Alpha
2021/6/8,0.93135017,Alpha
2021/6/15,0.91136351,Alpha
2021/6/22,0.86443831,Alpha
2021/6/29,0.827940933,Alpha
2021/7/6,0.762378945,Alpha
2021/7/13,0.622756904,Alpha
2021/7/20,0.623252957,Alpha
2021/7/27,0.430667697,Alpha
2021/8/3,0.26037215,Alpha
2021/8/10,0.179693966,Alpha
2021/8/17,0.081998,Alpha
2021/8/24,0.04801921,Alpha
2021/8/31,0,Alpha
2021/9/6,0,Alpha
2021/9/13,0,Alpha
2021/9/20,0,Alpha
2021/9/27,0,Alpha
2021/10/4,0,Alpha
2021/10/11,0,Alpha
2021/10/18,0,Alpha
2021/10/25,0,Alpha
2021/11/1,0,Alpha
2021/11/8,0,Alpha
2021/11/15,0,Alpha
2021/11/22,0,Alpha
2021/11/29,0,Alpha
2021/12/6,0,Alpha
2021/12/13,0,Alpha
2021/12/20,0,Alpha
2021/12/27,0,Alpha
2022/1/3,0,Alpha
2022/1/10,0,Alpha
2022/1/17,0,Alpha
2022/1/24,0,Alpha
2022/1/31,0,Alpha
2022/2/7,0,Alpha
2022/2/14,0,Alpha
2022/2/21,0,Alpha
2022/2/28,0,Alpha
2022/3/7,0,Alpha
2022/3/14,0,Alpha
2022/3/21,0,Alpha
2021/5/4,0,Delta
2021/5/11,0,Delta
2021/5/18,0,Delta
2021/5/25,0,Delta
2021/6/1,0,Delta
2021/6/8,0,Delta
2021/6/15,0.0788757,Delta
2021/6/22,0.122324959,Delta
2021/6/29,0.169250159,Delta
2021/7/6,0.237621055,Delta
2021/7/13,0.377243096,Delta
2021/7/20,0.376747043,Delta
2021/7/27,0.569332303,Delta
2021/8/3,0.73962785,Delta
2021/8/10,0.820306034,Delta
2021/8/17,0.918002,Delta
2021/8/24,0.95198079,Delta
2021/8/31,1,Delta
2021/9/6,1,Delta
2021/9/13,1,Delta
2021/9/20,1,Delta
2021/9/27,1,Delta
2021/10/4,1,Delta
2021/10/11,1,Delta
2021/10/18,1,Delta
2021/10/25,1,Delta
2021/11/1,1,Delta
2021/11/8,1,Delta
2021/11/15,1,Delta
2021/11/22,1,Delta
2021/11/29,1,Delta
2021/12/6,1,Delta
2021/12/13,0.947638297,Delta
2021/12/20,0.680477727,Delta
2021/12/27,0.595823323,Delta
2022/1/3,0.476142196,Delta
2022/1/10,0.387004617,Delta
2022/1/17,0.348995544,Delta
2022/1/24,0.128973041,Delta
2022/1/31,0.07500201,Delta
2022/2/7,0.01497,Delta
2022/2/14,0.0075,Delta
2022/2/21,0.00575,Delta
2022/2/28,0.00381,Delta
2022/3/7,0.00385,Delta
2022/3/14,0,Delta
2022/3/21,0,Delta
2021/5/4,0,Omicron
2021/5/11,0,Omicron
2021/5/18,0,Omicron
2021/5/25,0,Omicron
2021/6/1,0,Omicron
2021/6/8,0,Omicron
2021/6/15,0,Omicron
2021/6/22,0,Omicron
2021/6/29,0,Omicron
2021/7/6,0,Omicron
2021/7/13,0,Omicron
2021/7/20,0,Omicron
2021/7/27,0,Omicron
2021/8/3,0,Omicron
2021/8/10,0,Omicron
2021/8/17,0,Omicron
2021/8/24,0,Omicron
2021/8/31,0,Omicron
2021/9/6,0,Omicron
2021/9/13,0,Omicron
2021/9/20,0,Omicron
2021/9/27,0,Omicron
2021/10/4,0,Omicron
2021/10/11,0,Omicron
2021/10/18,0,Omicron
2021/10/25,0,Omicron
2021/11/1,0,Omicron
2021/11/8,0,Omicron
2021/11/15,0,Omicron
2021/11/22,0,Omicron
2021/11/29,0,Omicron
2021/12/6,0,Omicron
2021/12/13,0.052361703,Omicron
2021/12/20,0.319522273,Omicron
2021/12/27,0.404176677,Omicron
2022/1/3,0.523857804,Omicron
2022/1/10,0.612995383,Omicron
2022/1/17,0.651004456,Omicron
2022/1/24,0.871026959,Omicron
2022/1/31,0.92499799,Omicron
2022/2/7,0.98503,Omicron
2022/2/14,0.9925,Omicron
2022/2/21,0.99425,Omicron
2022/2/28,0.99619,Omicron
2022/3/7,0.99615,Omicron
2022/3/14,1,Omicron
2022/3/21,1,Omicron
