week,Proportion,Variant
2020/12/30,0,Alpha
2021/1/3,0,Alpha
2021/1/10,0,Alpha
2021/1/17,0,Alpha
2021/1/24,0,Alpha
2021/1/31,0,Alpha
2021/2/7,0,Alpha
2021/2/14,0,Alpha
2021/2/21,0,Alpha
2021/2/28,0,Alpha
2021/3/7,0,Alpha
2021/3/14,0,Alpha
2021/3/21,0,Alpha
2021/3/28,0,Alpha
2021/4/4,0.015,Alpha
2021/4/11,0.026,Alpha
2021/4/18,0.056,Alpha
2021/4/25,0.082,Alpha
2021/5/2,0.157,Alpha
2021/5/9,0.256,Alpha
2021/5/16,0.289,Alpha
2021/5/23,0.344,Alpha
2021/5/30,0.416,Alpha
2021/6/6,0.367,Alpha
2021/6/13,0.449,Alpha
2021/6/20,0.453,Alpha
2021/6/27,0.41,Alpha
2021/7/4,0.37,Alpha
2021/7/11,0.478,Alpha
2021/7/18,0.558,Alpha
2021/7/25,0.538,Alpha
2021/8/1,0.6,Alpha
2021/8/8,0.598,Alpha
2021/8/15,0.564,Alpha
2021/8/22,0.575,Alpha
2021/8/29,0.575,Alpha
2021/9/5,0.523,Alpha
2021/9/12,0.437,Alpha
2021/9/19,0.424,Alpha
2021/9/26,0.269,Alpha
2021/10/3,0.205,Alpha
2021/10/10,0.143,Alpha
2021/10/17,0.08,Alpha
2021/10/24,0.05,Alpha
2021/10/31,0.04,Alpha
2021/11/7,0.023,Alpha
2021/11/14,0.012,Alpha
2021/11/21,0.006,Alpha
2021/11/28,0.007,Alpha
2021/12/5,0.004,Alpha
2021/12/12,0.002,Alpha
2021/12/19,0.002,Alpha
2021/12/26,0,Alpha
2022/1/2,0.001,Alpha
2022/1/9,0.001,Alpha
2022/1/16,0,Alpha
2022/1/23,0,Alpha
2022/1/30,0,Alpha
2022/2/6,0,Alpha
2022/2/13,0,Alpha
2022/2/20,0.001,Alpha
2022/2/27,0,Alpha
2022/3/6,0,Alpha
2022/3/13,0,Alpha
2022/3/20,0,Alpha
2022/3/27,0,Alpha
2022/4/3,0,Alpha
2022/4/10,0,Alpha
2022/4/17,0,Alpha
2022/4/24,0,Alpha
2022/5/1,0,Alpha
2022/5/8,0,Alpha
2022/5/15,0,Alpha
2020/12/30,0,Delta
2021/1/3,0,Delta
2021/1/10,0,Delta
2021/1/17,0,Delta
2021/1/24,0,Delta
2021/1/31,0,Delta
2021/2/7,0,Delta
2021/2/14,0,Delta
2021/2/21,0,Delta
2021/2/28,0,Delta
2021/3/7,0,Delta
2021/3/14,0,Delta
2021/3/21,0,Delta
2021/3/28,0,Delta
2021/4/4,0,Delta
2021/4/11,0,Delta
2021/4/18,0,Delta
2021/4/25,0,Delta
2021/5/2,0,Delta
2021/5/9,0,Delta
2021/5/16,0,Delta
2021/5/23,0,Delta
2021/5/30,0,Delta
2021/6/6,0,Delta
