week,unvax_case,vax_case,unknown,exclusion
2021/9/27,7488,1228,617,0
2021/10/4,4465,952,361,751
2021/10/11,2573,745,227,473
2021/10/18,1526,556,117,253
2021/11/1,952,425,86,214
2021/11/8,818,394,72,199
2021/11/15,492,383,64,133
2021/11/22,365,291,46,97
2021/11/29,455,296,49,133
2021/12/6,480,359,47,159
2021/12/13,597,457,58,125
2021/12/20,826,788,172,186
2021/12/27,1540,1425,430,373
2022/1/3,14757,15155,5708,2426
2022/1/10,52628,52998,19900,11736
2022/1/17,138227,121739,44610,45858
2022/1/24,206856,178398,67845,80981
2022/1/31,228127,205971,73660,95989
2022/2/7,218664,187046,63666,90636
2022/2/14,212261,182979,59509,93592
2022/2/21,181487,146180,46414,86671
2022/2/28,174241,133486,40733,81860
2022/3/7,157079,118623,35525,80266
2022/3/14,138246,111418,32236,70095
2022/3/21,113869,98477,30142,52290
