week,Type,Case
2021/9/27,Unvaccinated,7488
2021/10/4,Unvaccinated,4465
2021/10/11,Unvaccinated,2573
2021/10/18,Unvaccinated,1526
2021/11/1,Unvaccinated,952
2021/11/8,Unvaccinated,818
2021/11/15,Unvaccinated,492
2021/11/22,Unvaccinated,365
2021/11/29,Unvaccinated,455
2021/12/6,Unvaccinated,480
2021/12/13,Unvaccinated,597
2021/12/20,Unvaccinated,826
2021/12/27,Unvaccinated,1540
2022/1/3,Unvaccinated,14757
2022/1/10,Unvaccinated,52628
2022/1/17,Unvaccinated,138227
2022/1/24,Unvaccinated,206856
2022/1/31,Unvaccinated,228127
2022/2/7,Unvaccinated,218664
2022/2/14,Unvaccinated,212261
2022/2/21,Unvaccinated,181487
2022/2/28,Unvaccinated,174241
2022/3/7,Unvaccinated,157079
2021/9/27,Vaccinated,1228
2021/10/4,Vaccinated,952
2021/10/11,Vaccinated,745
2021/10/18,Vaccinated,556
2021/11/1,Vaccinated,425
2021/11/8,Vaccinated,394
2021/11/15,Vaccinated,383
2021/11/22,Vaccinated,291
2021/11/29,Vaccinated,296
2021/12/6,Vaccinated,359
2021/12/13,Vaccinated,457
2021/12/20,Vaccinated,788
2021/12/27,Vaccinated,1425
2022/1/3,Vaccinated,15155
2022/1/10,Vaccinated,52998
2022/1/17,Vaccinated,121739
2022/1/24,Vaccinated,178398
2022/1/31,Vaccinated,205971
2022/2/7,Vaccinated,187046
2022/2/14,Vaccinated,182979
2022/2/21,Vaccinated,146180
2022/2/28,Vaccinated,133486
2022/3/7,Vaccinated,118623
2021/9/27,Unknown,617
2021/10/4,Unknown,361
2021/10/11,Unknown,227
2021/10/18,Unknown,117
2021/11/1,Unknown,86
2021/11/8,Unknown,72
2021/11/15,Unknown,64
2021/11/22,Unknown,46
2021/11/29,Unknown,49
2021/12/6,Unknown,47
2021/12/13,Unknown,58
2021/12/20,Unknown,172
2021/12/27,Unknown,430
2022/1/3,Unknown,5708
2022/1/10,Unknown,19900
2022/1/17,Unknown,44610
2022/1/24,Unknown,67845
2022/1/31,Unknown,73660
2022/2/7,Unknown,63666
2022/2/14,Unknown,59509
2022/2/21,Unknown,46414
2022/2/28,Unknown,40733
2022/3/7,Unknown,35525
