week,cumulative,vaccine
2021/5/4,0.0005,0.0005
2021/5/11,0.003,0.0025
2021/5/18,0.0054,0.0024
2021/5/25,0.0081,0.0027
2021/6/1,0.0164,0.0083
2021/6/8,0.0333,0.0169
2021/6/15,0.0607,0.0274
2021/6/22,0.095,0.0343
2021/6/29,0.1313,0.0363
2021/7/6,0.1673,0.036
2021/7/13,0.2049,0.0376
2021/7/20,0.242,0.0371
2021/7/27,0.2929,0.0509
2021/8/3,0.3349,0.042
2021/8/10,0.3643,0.0294
2021/8/17,0.4015,0.0372
2021/8/24,0.4349,0.0334
2021/8/31,0.4572,0.0223
2021/9/6,0.4887,0.0315
2021/9/13,0.5213,0.0326
2021/9/20,0.5543,0.033
2021/9/27,0.5896,0.0353
2021/10/4,0.6232,0.0336
2021/10/11,0.6471,0.0239
2021/10/18,0.673,0.0259
2021/10/25,0.6951,0.0221
2021/11/1,0.7105,0.0154
2021/11/8,0.7214,0.0109
2021/11/15,0.7291,0.0077
2021/11/22,0.7336,0.0045
2021/11/29,0.7363,0.0027
2021/12/6,0.7381,0.0018
2021/12/13,0.7397,0.0016
2021/12/20,0.7411,0.0014
2021/12/27,0.7414,0.0003
2022/1/3,0.7422,0.0008
2022/1/10,0.7431,0.0009
2022/1/17,0.7434,0.0003
2022/1/24,0.744,0.0006
2022/1/31,0.7445,0.0005
2022/2/7,0.7452,0.0007
2022/2/14,0.7459,0.0007
2022/2/21,0.7467,0.0008
2022/2/28,0.7472,0.0005
2022/3/7,0.7478,0.0006
