week,unvax_case,vax_case,unknown
2021/8/8,1885,487,0
2021/8/15,2450,699,201
2021/8/22,2912,979,389
2021/8/29,3149,1159,442
2021/9/5,3021,1136,389
2021/9/12,3042,1200,414
2021/9/19,2681,1071,370
2021/9/26,2529,1062,396
2021/10/3,2167,1127,327
2021/10/10,1780,971,200
2021/10/17,1504,868,237
2021/10/24,1319,839,207
2021/10/31,1470,1182,232
2021/11/7,1952,1557,281
2021/11/14,2149,1827,316
2021/11/21,2487,2176,282
2021/11/28,3008,2725,363
2021/12/5,3559,4064,542
2021/12/12,4477,9423,782
2021/12/19,7125,31540,1394
2021/12/26,12406,69848,1774
2022/1/2,12632,73547,2406
2022/1/9,9691,55735,3238
2022/1/16,7698,40029,3692
2022/1/23,5569,25113,3415
2022/1/30,4051,17363,2430
2022/2/6,2958,13200,2288
2022/2/13,2180,10517,1803
