week,Type,Case
2021/8/8,Unvaccinated,1885
2021/8/15,Unvaccinated,2450
2021/8/22,Unvaccinated,2912
2021/8/29,Unvaccinated,3149
2021/9/5,Unvaccinated,3021
2021/9/12,Unvaccinated,3042
2021/9/19,Unvaccinated,2681
2021/9/26,Unvaccinated,2529
2021/10/3,Unvaccinated,2167
2021/10/10,Unvaccinated,1780
2021/10/17,Unvaccinated,1504
2021/10/24,Unvaccinated,1319
2021/10/31,Unvaccinated,1470
2021/11/7,Unvaccinated,1952
2021/11/14,Unvaccinated,2149
2021/11/21,Unvaccinated,2487
2021/11/28,Unvaccinated,3008
2021/12/5,Unvaccinated,3559
2021/12/12,Unvaccinated,4477
2021/12/19,Unvaccinated,7125
2021/12/26,Unvaccinated,12406
2022/1/2,Unvaccinated,12632
2022/1/9,Unvaccinated,9691
2022/1/16,Unvaccinated,7698
2022/1/23,Unvaccinated,5569
2022/1/30,Unvaccinated,4051
2022/2/6,Unvaccinated,2958
2022/2/13,Unvaccinated,2180
2021/8/8,Vaccinated,487
2021/8/15,Vaccinated,699
2021/8/22,Vaccinated,979
2021/8/29,Vaccinated,1159
2021/9/5,Vaccinated,1136
2021/9/12,Vaccinated,1200
2021/9/19,Vaccinated,1071
2021/9/26,Vaccinated,1062
2021/10/3,Vaccinated,1127
2021/10/10,Vaccinated,971
2021/10/17,Vaccinated,868
2021/10/24,Vaccinated,839
2021/10/31,Vaccinated,1182
2021/11/7,Vaccinated,1557
2021/11/14,Vaccinated,1827
2021/11/21,Vaccinated,2176
2021/11/28,Vaccinated,2725
2021/12/5,Vaccinated,4064
2021/12/12,Vaccinated,9423
2021/12/19,Vaccinated,31540
2021/12/26,Vaccinated,69848
2022/1/2,Vaccinated,73547
2022/1/9,Vaccinated,55735
2022/1/16,Vaccinated,40029
2022/1/23,Vaccinated,25113
2022/1/30,Vaccinated,17363
2022/2/6,Vaccinated,13200
2022/2/13,Vaccinated,10517
2021/8/8,Unknown,0
2021/8/15,Unknown,201
2021/8/22,Unknown,389
2021/8/29,Unknown,442
2021/9/5,Unknown,389
2021/9/12,Unknown,414
2021/9/19,Unknown,370
2021/9/26,Unknown,396
2021/10/3,Unknown,327
2021/10/10,Unknown,200
2021/10/17,Unknown,237
2021/10/24,Unknown,207
2021/10/31,Unknown,232
2021/11/7,Unknown,281
2021/11/14,Unknown,316
2021/11/21,Unknown,282
2021/11/28,Unknown,363
2021/12/5,Unknown,542
2021/12/12,Unknown,782
2021/12/19,Unknown,1394
2021/12/26,Unknown,1774
2022/1/2,Unknown,2406
2022/1/9,Unknown,3238
2022/1/16,Unknown,3692
2022/1/23,Unknown,3415
2022/1/30,Unknown,2430
2022/2/6,Unknown,2288
2022/2/13,Unknown,1803
