week,vaccine,cumulative
1 ,14532,358776
2 ,14783,373559
3 ,17431,390990
4 ,31970,422960
5 ,97021,519981
6 ,139158,659139
7 ,304118,963257
8 ,704504,1667761
9 ,1057541,2725302
10 ,1262803,3988105
11 ,1389401,5377506
12 ,1325118,6702624
13 ,1024205,7726829
14 ,753932,8480761
15 ,504877,8985638
16 ,295060,9280698
17 ,251407,9532105
18 ,199821,9731926
19 ,160539,9892465
20 ,138538,10031003
21 ,121634,10152637
22 ,127933,10280570
23 ,156981,10437551
24 ,146016,10583567
25 ,124141,10707708
26 ,107400,10815108
27 ,103123,10918231
28 ,88791,11007022
29 ,62341,11069363
30 ,69360,11138723
31 ,58431,11197154
32 ,48486,11245640
33 ,42385,11288025
34 ,35345,11323370
35 ,32337,11355707
36 ,33153,11388860
37 ,26658,11415518
38 ,46872,11462390
39 ,68074,11530464
40 ,64588,11595052
41 ,101493,11696545
42 ,105513,11802058
43 ,85581,11887639
44 ,67575,11955214
45 ,0,11955214
46 ,2940,11958154
47 ,6727,11964881
48 ,19287,11984168
49 ,38833,12023001
50 ,28786,12051787
51 ,67734,12119521
52 ,64844,12184365
53 ,31821,12216186
54 ,9653,12225839
55 ,14061,12239900
56 ,12448,12252348
57 ,11167,12263515
58 ,13168,12276683
59 ,9513,12286196
60 ,13262,12299458
61 ,19287,12318745
62 ,38833,12357578
63 ,28786,12386364
64 ,67734,12454098
65 ,64844,12518942
66 ,31821,12550763
67 ,9653,12560416
68 ,14061,12574477
69 ,12448,12586925
70 ,11167,12598092
71 ,13168,12611260
72 ,9513,12620773
73 ,13262,12634035
